Site,Latitude,Longitude,RowcropPrp,CRPPrp,Native,RowcropTE,CRPTE,SHDI,StreamsDist,StreamDensity,LoamyTablePct2k,DaysActive3yr,LagObs,Richness3yr
0,37.246548,-99.982531,0.000215085,0,0.926799541,300,0,1.237462395,42.819387,117.9555,0,83,1,4
1,38.827767,-100.128149,0.534093353,0.035419804,0.214096222,51390,9960,1.780274063,261.012375,120.1854,0.406559,81,9,5
2,39.24175852,-101.9865093,0.584395132,0,0.127773801,75360,0,1.484183014,125.718536,45.58339,0.88629,81,0,4
3,37.143371,-101.250943,0.529344321,0.242422071,0.005732753,45990,21150,1.468228168,7860.64503,0,0,69,2,3
4,38.533094,-99.598849,0.38472023,0.129985653,0.214849354,39060,16980,1.716190949,138.812699,96.00305,0,68,0,4
5,37.60678836,-101.7915906,0.287504475,0.206731113,0.064804869,46410,14610,1.955479903,429.047226,14.40831,0.389664,69,0,2
6,39.41637,-99.827903,0.239317465,0.003226269,0.474404932,47700,1140,1.896233161,61.566827,117.5724,0,69,4,4
7,37.517404,-101.432824,0.26991404,0.051719198,0.313467049,47970,5880,1.961332509,34.87321,23.96427,0.338902,81,0,3
8,38.231773,-100.160874,0.162627277,0.000430231,0.623476265,18660,360,1.728808092,490.976915,132.8953,0,69,6,2
9,37.97791387,-101.4913813,0.135057677,0.271261732,0.286093,11460,19530,1.823664942,933.408174,53.49857,0.590658,68,6,3
10,39.5443,-100.534789,0.634975263,0.006739801,0.127267512,68220,3120,1.486035914,85.343792,87.37106,0.912439,55,26,4
11,39.566284,-101.724663,0.586211839,0.08162534,0.174716927,44940,7260,1.570620049,620.298355,35.28973,0.584682,83,38,5
12,39.511034,-100.794968,0.783512545,0.00078853,0.115268817,49140,720,1.186346892,40.116648,66.19003,0.874972,54,0,4
13,39.950759,-101.429848,0.1259583,0.000716486,0.722648133,20310,540,1.490726256,334.995074,82.57984,0.247747,67,14,3
14,37.242911,-101.553354,0.03095221,0.014401376,0.482983449,23520,2700,1.980680533,349.923337,13.39865,0,70,0,2
15,37.257087,-100.8529,0.54938758,0.001933959,0.256571879,62220,840,1.587479257,311.177176,47.54504,0.52753,68,15,2
16,39.05640514,-101.2764625,0.768944277,0,0.034737144,55800,0,1.164597211,360.15537,65.70908,0.943034,65,25,3
17,38.80136,-99.853248,0.104353439,0.151473858,0.434268091,24900,14070,1.994767857,28.590039,133.7064,0,82,0,4
18,39.079719,-99.59757,0.105908504,0.020507672,0.724006884,24210,5820,1.728644105,719.607557,62.00347,0,82,3,5
19,38.387785,-99.758128,0.314015206,0.13778511,0.116339119,63090,23850,1.806901386,133.145632,124.0809,0,40,0,3
20,37.192628,-101.090414,0.483008317,0.079079438,0.057929452,49650,6540,1.702589377,8833.903818,1.383478,0,82,23,2
21,38.63650937,-100.4254373,0.361362007,0.075197133,0.289032258,45300,7800,1.955792539,748.316309,71.75621,0.36818,69,9,3
22,37.653096,-100.045671,0.656339644,0.034638554,0.030694205,65760,6360,1.395346542,40.238545,92.80376,0,68,2,3
23,39.614828,-100.254302,0.476576512,0.000717412,0.247722218,60030,480,1.644395609,741.615515,96.81098,0,80,24,5
24,37.228684,-99.993262,0.000286923,0,0.91385123,360,0,1.222408614,436.836659,109.5216,0,82,12,2
25,39.032916,-100.379413,0.550967742,0,0.293691756,67020,0,1.575594188,943.457907,97.79801,0.100975,68,2,4
26,38.22471,-100.187629,0.427731996,0.084772483,0.226012182,40920,16680,1.794750368,553.960171,132.1931,0.000456,80,3,1
27,37.824826,-101.122216,0.291499427,0.432196101,0.17660553,38400,27150,1.680503461,11762.83662,0,0,77,1,3
28,38.94323833,-101.1834801,0.451282419,0.067774753,0.382146439,41190,10020,1.699208599,514.986571,62.41592,0.591538,83,0,3
29,37.397783,-100.257668,0.406409062,0.14696394,0.07620618,72360,21780,1.968945737,504.543747,88.91795,0,80,6,4
30,37.77572622,-101.7799429,0.25198825,0.3280791,0.119653221,20310,18960,1.852747981,334.543732,45.31243,0.230028,59,0,3
31,39.708471,-100.702703,0.549136263,0,0.270016486,80070,0,1.627238883,164.761548,111.4318,0.279839,68,13,4
32,38.66825961,-100.1567665,0.356640849,0.325301205,0.161574871,45690,29100,1.813967169,49.003936,109.2843,0.004977,83,0,3
33,39.747186,-101.049089,0.233443234,0,0.624784977,33900,0,1.669576872,537.378955,88.38049,0.491881,80,4,2
34,38.07411223,-101.6594212,0.397706915,0.315872447,0.16008599,29100,25530,1.680149717,176.460835,55.7797,0.386207,53,21,4
35,39.267177,-100.92608,0.397706093,0.027455197,0.283512544,50460,2910,1.716509978,5.302043,57.33809,0.544051,55,11,3
36,38.900818,-100.255602,0.301620304,0.004946946,0.491826791,71940,1680,1.821317248,21.333788,118.2719,0.288163,80,1,4
37,39.498138,-101.362093,0.66468524,0,0.066031655,61410,0,1.30070835,1804.272962,25.63119,0.993861,81,0,2
38,39.335018,-100.191264,0.074738201,0.016855544,0.812293789,21000,3540,1.579967928,72.971592,106.242,0.157457,80,6,1
39,39.313992,-99.903568,0.126327116,0.050071736,0.65882353,24780,19080,1.796139894,248.315501,115.4811,0,77,0,3
40,37.793828,-100.784019,0.638207885,0,0.009318996,72240,0,1.292437393,9331.796488,0,0.444045,82,18,4
41,37.42304,-101.030709,0.276452468,0.347374454,0.136542732,32520,18600,1.884471667,846.292776,39.92589,0.403533,60,5,2
42,39.874711,-101.733841,0.271366144,0.0000716,0.540726413,42270,120,1.810372589,50.547872,70.08839,0.158945,78,2,3
43,37.497434,-101.13601,0.327193234,0.224985665,0.21925172,33060,25260,1.89716396,881.818605,35.25167,0.227644,62,0,2
44,39.407201,-100.077437,0.373664204,0.082191781,0.374166248,53070,15000,1.83893145,134.87998,111.9475,0,80,24,4
45,37.525751,-99.884237,0.258032129,0.174196787,0.287507172,34140,19170,2.022863238,7.152555,101.8184,0,69,2,3
46,38.84367026,-101.7291597,0.164410058,0,0.714592736,39660,0,1.643958182,817.1932,79.04839,0.379466,82,4,5
